year,quantile,value
2007-01-01,q25,0
2007-01-01,q50,0.07894736842105263
2007-01-01,q75,0.17857142857142858
2008-01-01,q25,0
2008-01-01,q50,0.041666666666666664
2008-01-01,q75,0.15659981343283583
2009-01-01,q25,0
2009-01-01,q50,0.1
2009-01-01,q75,0.20689655172413793
2010-01-01,q25,0.018265993265993263
2010-01-01,q50,0.1111111111111111
2010-01-01,q75,0.23255813953488372
2011-01-01,q25,0.038461538461538464
2011-01-01,q50,0.125
2011-01-01,q75,0.23809523809523808
2012-01-01,q25,0.047619047619047616
2012-01-01,q50,0.13636363636363635
2012-01-01,q75,0.2558139534883721
2013-01-01,q25,0.05405405405405406
2013-01-01,q50,0.15043404084499973
2013-01-01,q75,0.26666666666666666
2014-01-01,q25,0.0625
2014-01-01,q50,0.16
2014-01-01,q75,0.290205703599813
2015-01-01,q25,0.07142857142857142
2015-01-01,q50,0.17391304347826086
2015-01-01,q75,0.3076923076923077
2016-01-01,q25,0.08333333333333333
2016-01-01,q50,0.19230769230769232
2016-01-01,q75,0.3333333333333333
2017-01-01,q25,0.09688620071684587
2017-01-01,q50,0.20588235294117646
2017-01-01,q75,0.34529780564263324
