year,quantile,value
2007-01-01,q25,0
2007-01-01,q50,0.043478260869565216
2007-01-01,q75,0.125
2008-01-01,q25,0
2008-01-01,q50,0.047619047619047616
2008-01-01,q75,0.13953488372093023
2009-01-01,q25,0
2009-01-01,q50,0.05555555555555555
2009-01-01,q75,0.14754098360655737
2010-01-01,q25,0
2010-01-01,q50,0.0625
2010-01-01,q75,0.16
2011-01-01,q25,0
2011-01-01,q50,0.07142857142857142
2011-01-01,q75,0.16666666666666666
2012-01-01,q25,0
2012-01-01,q50,0.07692307692307693
2012-01-01,q75,0.18181818181818182
2013-01-01,q25,0
2013-01-01,q50,0.08695652173913043
2013-01-01,q75,0.19230769230769232
2014-01-01,q25,0
2014-01-01,q50,0.1
2014-01-01,q75,0.20930232558139536
2015-01-01,q25,0.027777777777777776
2015-01-01,q50,0.11764705882352941
2015-01-01,q75,0.23076923076923078
2016-01-01,q25,0.05555555555555555
2016-01-01,q50,0.14285714285714285
2016-01-01,q75,0.2631578947368421
2017-01-01,q25,0.07692307692307693
2017-01-01,q50,0.16901408450704225
2017-01-01,q75,0.29508196721311475
