year,quantile,value
2007-01-01,q25,0
2007-01-01,q50,0.08333333333333333
2007-01-01,q75,0.2
2008-01-01,q25,0
2008-01-01,q50,0.09375
2008-01-01,q75,0.20930232558139536
2009-01-01,q25,0
2009-01-01,q50,0.10344827586206896
2009-01-01,q75,0.2222222222222222
2010-01-01,q25,0.01818181818181818
2010-01-01,q50,0.1111111111111111
2010-01-01,q75,0.23684210526315788
2011-01-01,q25,0.03571428571428571
2011-01-01,q50,0.125
2011-01-01,q75,0.25
2012-01-01,q25,0.043478260869565216
2012-01-01,q50,0.13333333333333333
2012-01-01,q75,0.2631578947368421
2013-01-01,q25,0.05172413793103448
2013-01-01,q50,0.14285714285714285
2013-01-01,q75,0.2753623188405797
2014-01-01,q25,0.058823529411764705
2014-01-01,q50,0.15384615384615385
2014-01-01,q75,0.2894736842105263
2015-01-01,q25,0.06578947368421052
2015-01-01,q50,0.16326530612244897
2015-01-01,q75,0.3076923076923077
2016-01-01,q25,0.07692307692307693
2016-01-01,q50,0.18181818181818182
2016-01-01,q75,0.3333333333333333
2017-01-01,q25,0.08823529411764706
2017-01-01,q50,0.2
2017-01-01,q75,0.3448275862068966
