year,quantile,value
2007-01-01,q25,0
2007-01-01,q50,0
2007-01-01,q75,0.08333333333333333
2008-01-01,q25,0
2008-01-01,q50,0.02564102564102564
2008-01-01,q75,0.09090909090909091
2009-01-01,q25,0
2009-01-01,q50,0.034482758620689655
2009-01-01,q75,0.1
2010-01-01,q25,0
2010-01-01,q50,0.04
2010-01-01,q75,0.1111111111111111
2011-01-01,q25,0
2011-01-01,q50,0.045454545454545456
2011-01-01,q75,0.11428571428571428
2012-01-01,q25,0
2012-01-01,q50,0.05128205128205128
2012-01-01,q75,0.125
2013-01-01,q25,0
2013-01-01,q50,0.05555555555555555
2013-01-01,q75,0.13333333333333333
2014-01-01,q25,0
2014-01-01,q50,0.06060606060606061
2014-01-01,q75,0.14285714285714285
2015-01-01,q25,0
2015-01-01,q50,0.07142857142857142
2015-01-01,q75,0.15384615384615385
2016-01-01,q25,0
2016-01-01,q50,0.07692307692307693
2016-01-01,q75,0.16666666666666666
2017-01-01,q25,0.03225806451612903
2017-01-01,q50,0.09090909090909091
2017-01-01,q75,0.18604651162790697
