year,quantile,value
2007-01-01,q25,0
2007-01-01,q50,0.06
2007-01-01,q75,0.15151515151515152
2008-01-01,q25,0
2008-01-01,q50,0.07142857142857142
2008-01-01,q75,0.16129032258064516
2009-01-01,q25,0
2009-01-01,q50,0.078125
2009-01-01,q75,0.17857142857142858
2010-01-01,q25,0
2010-01-01,q50,0.08333333333333333
2010-01-01,q75,0.18181818181818182
2011-01-01,q25,0.01818181818181818
2011-01-01,q50,0.09090909090909091
2011-01-01,q75,0.19444444444444445
2012-01-01,q25,0.029411764705882353
2012-01-01,q50,0.0975609756097561
2012-01-01,q75,0.2
2013-01-01,q25,0.038461538461538464
2013-01-01,q50,0.1111111111111111
2013-01-01,q75,0.21739130434782608
2014-01-01,q25,0.047619047619047616
2014-01-01,q50,0.12
2014-01-01,q75,0.23076923076923078
2015-01-01,q25,0.05454545454545454
2015-01-01,q50,0.13333333333333333
2015-01-01,q75,0.25
2016-01-01,q25,0.07142857142857142
2016-01-01,q50,0.15151515151515152
2016-01-01,q75,0.2727272727272727
2017-01-01,q25,0.08108108108108109
2017-01-01,q50,0.16666666666666666
2017-01-01,q75,0.29536140089418783
