year,quantile,value
2007-01-01,q25,0
2007-01-01,q50,0
2007-01-01,q75,0.09090909090909091
2008-01-01,q25,0
2008-01-01,q50,0
2008-01-01,q75,0.09090909090909091
2009-01-01,q25,0
2009-01-01,q50,0
2009-01-01,q75,0.10810810810810811
2010-01-01,q25,0
2010-01-01,q50,0
2010-01-01,q75,0.11320754716981132
2011-01-01,q25,0
2011-01-01,q50,0
2011-01-01,q75,0.125
2012-01-01,q25,0
2012-01-01,q50,0.029411764705882353
2012-01-01,q75,0.14035087719298245
2013-01-01,q25,0
2013-01-01,q50,0.041666666666666664
2013-01-01,q75,0.15
2014-01-01,q25,0
2014-01-01,q50,0.038461538461538464
2014-01-01,q75,0.14285714285714285
2015-01-01,q25,0
2015-01-01,q50,0.05555555555555555
2015-01-01,q75,0.16666666666666666
2016-01-01,q25,0
2016-01-01,q50,0.07317073170731707
2016-01-01,q75,0.2
2017-01-01,q25,0
2017-01-01,q50,0.08928571428571429
2017-01-01,q75,0.2100389863547758
