year,quantile,value
2007-01-01,q25,0
2007-01-01,q50,0.09090909090909091
2007-01-01,q75,0.2
2008-01-01,q25,0
2008-01-01,q50,0.1
2008-01-01,q75,0.21568627450980393
2009-01-01,q25,0.025
2009-01-01,q50,0.1111111111111111
2009-01-01,q75,0.23809523809523808
2010-01-01,q25,0.034482758620689655
2010-01-01,q50,0.125
2010-01-01,q75,0.2571428571428571
2011-01-01,q25,0.043478260869565216
2011-01-01,q50,0.14
2011-01-01,q75,0.2727272727272727
2012-01-01,q25,0.05263157894736842
2012-01-01,q50,0.15384615384615385
2012-01-01,q75,0.2857142857142857
2013-01-01,q25,0.058823529411764705
2013-01-01,q50,0.16260162601626016
2013-01-01,q75,0.30303030303030304
2014-01-01,q25,0.06666666666666667
2014-01-01,q50,0.175
2014-01-01,q75,0.3225806451612903
2015-01-01,q25,0.07575757575757576
2015-01-01,q50,0.1875
2015-01-01,q75,0.3333333333333333
2016-01-01,q25,0.0851063829787234
2016-01-01,q50,0.2
2016-01-01,q75,0.358695652173913
2017-01-01,q25,0.1
2017-01-01,q50,0.22033898305084745
2017-01-01,q75,0.375
