displayname,year,median_oa_perc
Bielefeld University,2007-01-01,0.08759590792838876
Bielefeld University,2008-01-01,0.1
Bielefeld University,2009-01-01,0.1043557168784029
Bielefeld University,2010-01-01,0.11627906976744186
Bielefeld University,2011-01-01,0.13819628647214854
Bielefeld University,2012-01-01,0.125
Bielefeld University,2013-01-01,0.16666666666666666
Bielefeld University,2014-01-01,0.18181818181818182
Bielefeld University,2015-01-01,0.17902930402930403
Bielefeld University,2016-01-01,0.20833333333333334
Bielefeld University,2017-01-01,0.2139389736477115
"Chemnitz University of
Technology",2007-01-01,0.004545454545454545
"Chemnitz University of
Technology",2008-01-01,0.011483753099308365
"Chemnitz University of
Technology",2009-01-01,0.03851851851851852
"Chemnitz University of
Technology",2010-01-01,0.045454545454545456
"Chemnitz University of
Technology",2011-01-01,0.02631578947368421
"Chemnitz University of
Technology",2012-01-01,0.05
"Chemnitz University of
Technology",2013-01-01,0.057692307692307696
"Chemnitz University of
Technology",2014-01-01,0.0625
"Chemnitz University of
Technology",2015-01-01,0.08511066398390342
"Chemnitz University of
Technology",2016-01-01,0.09090909090909091
"Chemnitz University of
Technology",2017-01-01,0.11483516483516484
Free University of Berlin,2007-01-01,0.07142857142857142
Free University of Berlin,2008-01-01,0.07692307692307693
Free University of Berlin,2009-01-01,0.09803921568627451
Free University of Berlin,2010-01-01,0.0975609756097561
Free University of Berlin,2011-01-01,0.125
Free University of Berlin,2012-01-01,0.1284965034965035
Free University of Berlin,2013-01-01,0.13333333333333333
Free University of Berlin,2014-01-01,0.14285714285714285
Free University of Berlin,2015-01-01,0.15384615384615385
Free University of Berlin,2016-01-01,0.1724137931034483
Free University of Berlin,2017-01-01,0.2
Goethe University Frankfurt,2007-01-01,0.1111111111111111
Goethe University Frankfurt,2008-01-01,0.125
Goethe University Frankfurt,2009-01-01,0.1509433962264151
Goethe University Frankfurt,2010-01-01,0.15384615384615385
Goethe University Frankfurt,2011-01-01,0.17391304347826086
Goethe University Frankfurt,2012-01-01,0.19047619047619047
Goethe University Frankfurt,2013-01-01,0.18808962264150944
Goethe University Frankfurt,2014-01-01,0.21428571428571427
Goethe University Frankfurt,2015-01-01,0.21329749103942652
Goethe University Frankfurt,2016-01-01,0.23529411764705882
Goethe University Frankfurt,2017-01-01,0.25806451612903225
"Hamburg University of
Technology",2007-01-01,0
"Hamburg University of
Technology",2008-01-01,0
"Hamburg University of
Technology",2009-01-01,0.03252247488101534
"Hamburg University of
Technology",2010-01-01,0.04706533776301218
"Hamburg University of
Technology",2011-01-01,0.057692307692307696
"Hamburg University of
Technology",2012-01-01,0.07142857142857142
"Hamburg University of
Technology",2013-01-01,0.07142857142857142
"Hamburg University of
Technology",2014-01-01,0.08333333333333333
"Hamburg University of
Technology",2015-01-01,0.08333333333333333
