displayname,year,median_oa_perc
Acharya Nagarjuna University,2007-01-01,0
Acharya Nagarjuna University,2008-01-01,0
Acharya Nagarjuna University,2009-01-01,0
Acharya Nagarjuna University,2010-01-01,0.024695121951219513
Acharya Nagarjuna University,2011-01-01,0.02667140825035562
Acharya Nagarjuna University,2012-01-01,0.024695121951219513
Acharya Nagarjuna University,2013-01-01,0.04083333333333333
Acharya Nagarjuna University,2014-01-01,0.058823529411764705
Acharya Nagarjuna University,2015-01-01,0.07142857142857142
Acharya Nagarjuna University,2016-01-01,0.06854460093896714
Acharya Nagarjuna University,2017-01-01,0.1
Aligarh Muslim University,2007-01-01,0.05263157894736842
Aligarh Muslim University,2008-01-01,0.031818181818181815
Aligarh Muslim University,2009-01-01,0.038461538461538464
Aligarh Muslim University,2010-01-01,0.0641729581331503
Aligarh Muslim University,2011-01-01,0.04819976771196283
Aligarh Muslim University,2012-01-01,0.0625
Aligarh Muslim University,2013-01-01,0.06969402622632345
Aligarh Muslim University,2014-01-01,0.08695652173913043
Aligarh Muslim University,2015-01-01,0.08695652173913043
Aligarh Muslim University,2016-01-01,0.1
Aligarh Muslim University,2017-01-01,0.12903225806451613
Amity University,2007-01-01,0.03774928774928775
Amity University,2008-01-01,0.0625
Amity University,2009-01-01,0
Amity University,2010-01-01,0.051587301587301584
Amity University,2011-01-01,0.056962025316455694
Amity University,2012-01-01,0.05263157894736842
Amity University,2013-01-01,0.07894736842105263
Amity University,2014-01-01,0.06947491589878602
Amity University,2015-01-01,0.07692307692307693
Amity University,2016-01-01,0.08462640248269276
Amity University,2017-01-01,0.125
Amrita Vishwa Vidyapeetham,2007-01-01,0
Amrita Vishwa Vidyapeetham,2008-01-01,0
Amrita Vishwa Vidyapeetham,2009-01-01,0.0125
Amrita Vishwa Vidyapeetham,2010-01-01,0.022727272727272728
Amrita Vishwa Vidyapeetham,2011-01-01,0.03333333333333333
Amrita Vishwa Vidyapeetham,2012-01-01,0.046536796536796536
Amrita Vishwa Vidyapeetham,2013-01-01,0.038461538461538464
