displayname,year,median_oa_perc
"ISCTE – University Institute
of Lisbon",2007-01-01,0.05063291139240506
"ISCTE – University Institute
of Lisbon",2008-01-01,0.04880952380952381
"ISCTE – University Institute
of Lisbon",2009-01-01,0.06066176470588235
"ISCTE – University Institute
of Lisbon",2010-01-01,0.07142857142857142
"ISCTE – University Institute
of Lisbon",2011-01-01,0.06666666666666667
"ISCTE – University Institute
of Lisbon",2012-01-01,0.07380174291938998
"ISCTE – University Institute
of Lisbon",2013-01-01,0.08541033434650455
"ISCTE – University Institute
of Lisbon",2014-01-01,0.09302325581395349
"ISCTE – University Institute
of Lisbon",2015-01-01,0.11010101010101009
"ISCTE – University Institute
of Lisbon",2016-01-01,0.12121212121212122
"ISCTE – University Institute
of Lisbon",2017-01-01,0.1320754716981132
Polytechnic Institute of Porto,2007-01-01,0
Polytechnic Institute of Porto,2008-01-01,0
Polytechnic Institute of Porto,2009-01-01,0
Polytechnic Institute of Porto,2010-01-01,0.03398617511520737
Polytechnic Institute of Porto,2011-01-01,0.067816091954023
Polytechnic Institute of Porto,2012-01-01,0.08695652173913043
Polytechnic Institute of Porto,2013-01-01,0.09307359307359307
Polytechnic Institute of Porto,2014-01-01,0.09523809523809523
Polytechnic Institute of Porto,2015-01-01,0.11483516483516484
Polytechnic Institute of Porto,2016-01-01,0.14835164835164835
Polytechnic Institute of Porto,2017-01-01,0.16
University of Aveiro,2007-01-01,0.030303030303030304
University of Aveiro,2008-01-01,0.043478260869565216
University of Aveiro,2009-01-01,0.05
University of Aveiro,2010-01-01,0.05263157894736842
University of Aveiro,2011-01-01,0.06666666666666667
University of Aveiro,2012-01-01,0.07407407407407407
University of Aveiro,2013-01-01,0.08333333333333333
University of Aveiro,2014-01-01,0.0847457627118644
University of Aveiro,2015-01-01,0.1
University of Aveiro,2016-01-01,0.11566332218506131
University of Aveiro,2017-01-01,0.1388888888888889
University of Beira Interior,2007-01-01,0.05322128851540616
University of Beira Interior,2008-01-01,0.016129032258064516
University of Beira Interior,2009-01-01,0.07142857142857142
University of Beira Interior,2010-01-01,0.058823529411764705
University of Beira Interior,2011-01-01,0.07142857142857142
University of Beira Interior,2012-01-01,0.07407407407407407
University of Beira Interior,2013-01-01,0.07142857142857142
University of Beira Interior,2014-01-01,0.09918032786885246
University of Beira Interior,2015-01-01,0.0971675845790716
University of Beira Interior,2016-01-01,0.13636363636363635
University of Beira Interior,2017-01-01,0.10840188014101057
University of Coimbra,2007-01-01,0.075
University of Coimbra,2008-01-01,0.09090909090909091
University of Coimbra,2009-01-01,0.1
University of Coimbra,2010-01-01,0.1
University of Coimbra,2011-01-01,0.1111111111111111
University of Coimbra,2012-01-01,0.12
University of Coimbra,2013-01-01,0.125
University of Coimbra,2014-01-01,0.12903225806451613
University of Coimbra,2015-01-01,0.14285714285714285
University of Coimbra,2016-01-01,0.16393442622950818
University of Coimbra,2017-01-01,0.16666666666666666
University of Évora,2007-01-01,0.037037037037037035
University of Évora,2008-01-01,0.06904761904761905
University of Évora,2009-01-01,0.06458333333333333
University of Évora,2010-01-01,0.08928571428571429
University of Évora,2011-01-01,0.1
University of Évora,2012-01-01,0.1
University of Évora,2013-01-01,0.1111111111111111
University of Évora,2014-01-01,0.125
University of Évora,2015-01-01,0.12196495972057912
University of Évora,2016-01-01,0.14583333333333334
University of Évora,2017-01-01,0.175
University of Lisbon,2007-01-01,0.07019704433497537
University of Lisbon,2008-01-01,0.08333333333333333
University of Lisbon,2009-01-01,0.08771929824561403
University of Lisbon,2010-01-01,0.1
University of Lisbon,2011-01-01,0.10810810810810811
University of Lisbon,2012-01-01,0.1111111111111111
University of Lisbon,2013-01-01,0.13333333333333333
University of Lisbon,2014-01-01,0.13793103448275862
University of Lisbon,2015-01-01,0.14285714285714285
University of Lisbon,2016-01-01,0.16666666666666666
University of Lisbon,2017-01-01,0.18181818181818182
University of Minho,2007-01-01,0.04
University of Minho,2008-01-01,0.05
University of Minho,2009-01-01,0.05555555555555555
University of Minho,2010-01-01,0.07142857142857142
University of Minho,2011-01-01,0.06666666666666667
University of Minho,2012-01-01,0.07142857142857142
University of Minho,2013-01-01,0.09090909090909091
University of Minho,2014-01-01,0.10344827586206896
University of Minho,2015-01-01,0.1111111111111111
University of Minho,2016-01-01,0.14194139194139194
University of Minho,2017-01-01,0.15384615384615385
University of Porto,2007-01-01,0.09090909090909091
University of Porto,2008-01-01,0.08955223880597014
University of Porto,2009-01-01,0.09780009564801531
University of Porto,2010-01-01,0.1
University of Porto,2011-01-01,0.12195121951219512
University of Porto,2012-01-01,0.11538461538461539
University of Porto,2013-01-01,0.13333333333333333
University of Porto,2014-01-01,0.15
University of Porto,2015-01-01,0.17142857142857143
University of Porto,2016-01-01,0.1875
University of Porto,2017-01-01,0.20354676710608915
University of the Algarve,2007-01-01,0.06666666666666667
University of the Algarve,2008-01-01,0.08695652173913043
University of the Algarve,2009-01-01,0.08000512032770096
University of the Algarve,2010-01-01,0.10256410256410256
University of the Algarve,2011-01-01,0.1
University of the Algarve,2012-01-01,0.125
University of the Algarve,2013-01-01,0.1284965034965035
University of the Algarve,2014-01-01,0.13533834586466165
University of the Algarve,2015-01-01,0.14285714285714285
University of the Algarve,2016-01-01,0.16666666666666666
University of the Algarve,2017-01-01,0.175
"University of Trás-os-Montes
and Alto Douro",2007-01-01,0.04195804195804196
"University of Trás-os-Montes
and Alto Douro",2008-01-01,0.07692307692307693
"University of Trás-os-Montes
and Alto Douro",2009-01-01,0.08012820512820512
"University of Trás-os-Montes
and Alto Douro",2010-01-01,0.07930023046302116
"University of Trás-os-Montes
and Alto Douro",2011-01-01,0.08695652173913043
"University of Trás-os-Montes
and Alto Douro",2012-01-01,0.1
"University of Trás-os-Montes
and Alto Douro",2013-01-01,0.125
"University of Trás-os-Montes
and Alto Douro",2014-01-01,0.13333333333333333
"University of Trás-os-Montes
and Alto Douro",2015-01-01,0.13293172690763053
"University of Trás-os-Montes
and Alto Douro",2016-01-01,0.1875
"University of Trás-os-Montes
and Alto Douro",2017-01-01,0.20833333333333334
