univ_name,year,median_oa_perc
Bashkir State University,2007-01-01,0
Bashkir State University,2008-01-01,0
Bashkir State University,2009-01-01,0
Bashkir State University,2010-01-01,0
Bashkir State University,2011-01-01,0
Bashkir State University,2012-01-01,0
Bashkir State University,2013-01-01,0
Bashkir State University,2014-01-01,0
Bashkir State University,2015-01-01,0.041666666666666664
Bashkir State University,2016-01-01,0
Bashkir State University,2017-01-01,0.029411764705882353
"Bauman Moscow State Technical
University",2007-01-01,0
"Bauman Moscow State Technical
University",2008-01-01,0
"Bauman Moscow State Technical
University",2009-01-01,0
"Bauman Moscow State Technical
University",2010-01-01,0
"Bauman Moscow State Technical
University",2011-01-01,0
"Bauman Moscow State Technical
University",2012-01-01,0
"Bauman Moscow State Technical
University",2013-01-01,0
"Bauman Moscow State Technical
University",2014-01-01,0
"Bauman Moscow State Technical
University",2015-01-01,0
"Bauman Moscow State Technical
University",2016-01-01,0
"Bauman Moscow State Technical
University",2017-01-01,0
Far Eastern Federal University,2007-01-01,0.05263157894736842
Far Eastern Federal University,2009-01-01,0.2976190476190476
Far Eastern Federal University,2010-01-01,0
Far Eastern Federal University,2011-01-01,0.009615384615384616
Far Eastern Federal University,2012-01-01,0.0125
Far Eastern Federal University,2013-01-01,0
Far Eastern Federal University,2014-01-01,0.037037037037037035
Far Eastern Federal University,2015-01-01,0.09375
Far Eastern Federal University,2016-01-01,0.10526315789473684
Far Eastern Federal University,2017-01-01,0.125
"Gubkin Russian State
University of Oil and Gas",2007-01-01,0
"Gubkin Russian State
University of Oil and Gas",2008-01-01,0
"Gubkin Russian State
University of Oil and Gas",2009-01-01,0
"Gubkin Russian State
University of Oil and Gas",2010-01-01,0
"Gubkin Russian State
University of Oil and Gas",2011-01-01,0
"Gubkin Russian State
University of Oil and Gas",2012-01-01,0
"Gubkin Russian State
University of Oil and Gas",2013-01-01,0
"Gubkin Russian State
University of Oil and Gas",2014-01-01,0
"Gubkin Russian State
University of Oil and Gas",2015-01-01,0
"Gubkin Russian State
University of Oil and Gas",2016-01-01,0.009433962264150943
"Gubkin Russian State
University of Oil and Gas",2017-01-01,0.03818181818181818
Kazan Federal University,2007-01-01,0.029411764705882353
Kazan Federal University,2008-01-01,0.11490683229813664
Kazan Federal University,2009-01-01,0
Kazan Federal University,2010-01-01,0.10818713450292397
Kazan Federal University,2011-01-01,0.047619047619047616
Kazan Federal University,2012-01-01,0.054804804804804805
Kazan Federal University,2013-01-01,0.046511627906976744
Kazan Federal University,2014-01-01,0.06578947368421052
Kazan Federal University,2015-01-01,0.056818181818181816
Kazan Federal University,2016-01-01,0.1111111111111111
Kazan Federal University,2017-01-01,0.12
Moscow Aviation Institute,2007-01-01,0
Moscow Aviation Institute,2008-01-01,0
Moscow Aviation Institute,2009-01-01,0
Moscow Aviation Institute,2010-01-01,0
Moscow Aviation Institute,2011-01-01,0
Moscow Aviation Institute,2012-01-01,0
Moscow Aviation Institute,2013-01-01,0
Moscow Aviation Institute,2014-01-01,0
Moscow Aviation Institute,2015-01-01,0
Moscow Aviation Institute,2016-01-01,0
Moscow Aviation Institute,2017-01-01,0
"Moscow Institute of Physics
and Technology",2007-01-01,0
"Moscow Institute of Physics
and Technology",2008-01-01,0
"Moscow Institute of Physics
and Technology",2009-01-01,0.06451612903225806
"Moscow Institute of Physics
and Technology",2010-01-01,0.038461538461538464
"Moscow Institute of Physics
and Technology",2011-01-01,0.075
"Moscow Institute of Physics
and Technology",2012-01-01,0.08
"Moscow Institute of Physics
and Technology",2013-01-01,0.08333333333333333
"Moscow Institute of Physics
and Technology",2014-01-01,0.11904761904761904
"Moscow Institute of Physics
and Technology",2015-01-01,0.125
"Moscow Institute of Physics
and Technology",2016-01-01,0.15214646464646464
"Moscow Institute of Physics
and Technology",2017-01-01,0.14814814814814814
"Moscow Power Engineering
Institute",2007-01-01,0
"Moscow Power Engineering
Institute",2008-01-01,0
"Moscow Power Engineering
Institute",2009-01-01,0
"Moscow Power Engineering
Institute",2010-01-01,0
"Moscow Power Engineering
Institute",2011-01-01,0
"Moscow Power Engineering
Institute",2012-01-01,0
"Moscow Power Engineering
Institute",2013-01-01,0
"Moscow Power Engineering
Institute",2014-01-01,0
"Moscow Power Engineering
Institute",2015-01-01,0
"Moscow Power Engineering
Institute",2016-01-01,0
"Moscow Power Engineering
Institute",2017-01-01,0
"National Research Nuclear
University MEPhI",2007-01-01,0
"National Research Nuclear
University MEPhI",2008-01-01,0.07142857142857142
"National Research Nuclear
University MEPhI",2009-01-01,0
"National Research Nuclear
University MEPhI",2010-01-01,0
"National Research Nuclear
University MEPhI",2011-01-01,0.07019704433497537
"National Research Nuclear
University MEPhI",2012-01-01,0.08333333333333333
"National Research Nuclear
University MEPhI",2013-01-01,0.045454545454545456
"National Research Nuclear
University MEPhI",2014-01-01,0.05217785843920145
"National Research Nuclear
University MEPhI",2015-01-01,0.058823529411764705
"National Research Nuclear
University MEPhI",2016-01-01,0.08333333333333333
"National Research Nuclear
University MEPhI",2017-01-01,0.11696306429548564
"Novosibirsk State Technical
University",2007-01-01,0
"Novosibirsk State Technical
University",2008-01-01,0
"Novosibirsk State Technical
University",2009-01-01,0
"Novosibirsk State Technical
University",2010-01-01,0
"Novosibirsk State Technical
University",2011-01-01,0
"Novosibirsk State Technical
University",2012-01-01,0
"Novosibirsk State Technical
University",2013-01-01,0
"Novosibirsk State Technical
University",2014-01-01,0
"Novosibirsk State Technical
University",2015-01-01,0
"Novosibirsk State Technical
University",2016-01-01,0
"Novosibirsk State Technical
University",2017-01-01,0
Novosibirsk State University,2007-01-01,0
Novosibirsk State University,2008-01-01,0
Novosibirsk State University,2009-01-01,0
Novosibirsk State University,2010-01-01,0
Novosibirsk State University,2011-01-01,0.03279569892473118
Novosibirsk State University,2012-01-01,0.045454545454545456
Novosibirsk State University,2013-01-01,0.06944444444444445
Novosibirsk State University,2014-01-01,0.061224489795918366
Novosibirsk State University,2015-01-01,0.07692307692307693
Novosibirsk State University,2016-01-01,0.08928571428571429
Novosibirsk State University,2017-01-01,0.1
Perm State University,2007-01-01,0
Perm State University,2008-01-01,0
Perm State University,2009-01-01,0
Perm State University,2010-01-01,0
Perm State University,2011-01-01,0
Perm State University,2012-01-01,0
Perm State University,2013-01-01,0
Perm State University,2014-01-01,0
Perm State University,2015-01-01,0.05555555555555555
Perm State University,2016-01-01,0.05172413793103448
Perm State University,2017-01-01,0.08108108108108109
"Saint Petersburg State
University",2007-01-01,0
"Saint Petersburg State
University",2008-01-01,0
"Saint Petersburg State
University",2009-01-01,0.03571428571428571
"Saint Petersburg State
University",2010-01-01,0.041666666666666664
"Saint Petersburg State
University",2011-01-01,0.04411764705882353
"Saint Petersburg State
University",2012-01-01,0.06153846153846154
"Saint Petersburg State
University",2013-01-01,0.07142857142857142
"Saint Petersburg State
University",2014-01-01,0.07407407407407407
"Saint Petersburg State
University",2015-01-01,0.07692307692307693
