displayname,year,median_oa_perc
Aberystwyth University,2007-01-01,0.05263157894736842
Aberystwyth University,2008-01-01,0.06666666666666667
Aberystwyth University,2009-01-01,0.07692307692307693
Aberystwyth University,2010-01-01,0.0851063829787234
Aberystwyth University,2011-01-01,0.08722826086956521
Aberystwyth University,2012-01-01,0.10840188014101057
Aberystwyth University,2013-01-01,0.11986863711001641
Aberystwyth University,2014-01-01,0.1346153846153846
Aberystwyth University,2015-01-01,0.15492957746478872
Aberystwyth University,2016-01-01,0.1875
Aberystwyth University,2017-01-01,0.19607843137254902
Anglia Ruskin University,2007-01-01,0
Anglia Ruskin University,2008-01-01,0.06666666666666667
Anglia Ruskin University,2009-01-01,0.047619047619047616
Anglia Ruskin University,2010-01-01,0.047619047619047616
Anglia Ruskin University,2011-01-01,0.06186224489795918
Anglia Ruskin University,2012-01-01,0.11437908496732026
Anglia Ruskin University,2013-01-01,0.1103448275862069
Anglia Ruskin University,2014-01-01,0.1111111111111111
Anglia Ruskin University,2015-01-01,0.15849282296650719
Anglia Ruskin University,2016-01-01,0.18604651162790697
Anglia Ruskin University,2017-01-01,0.21869058935361219
Aston University,2007-01-01,0.05
Aston University,2008-01-01,0.05263157894736842
Aston University,2009-01-01,0.06486676016830295
Aston University,2010-01-01,0.07692307692307693
Aston University,2011-01-01,0.08633540372670807
Aston University,2012-01-01,0.09523809523809523
Aston University,2013-01-01,0.1
Aston University,2014-01-01,0.1111111111111111
Aston University,2015-01-01,0.11290322580645161
Aston University,2016-01-01,0.1297335203366059
Aston University,2017-01-01,0.13793103448275862
Bangor University,2007-01-01,0.06896551724137931
Bangor University,2008-01-01,0.09338662790697674
Bangor University,2009-01-01,0.10762548262548263
Bangor University,2010-01-01,0.1111111111111111
Bangor University,2011-01-01,0.11696306429548564
Bangor University,2012-01-01,0.13636363636363635
Bangor University,2013-01-01,0.15202876219825373
Bangor University,2014-01-01,0.16666666666666666
Bangor University,2015-01-01,0.19074844074844077
Bangor University,2016-01-01,0.2
Bangor University,2017-01-01,0.2222222222222222
"Birkbeck, University of London",2007-01-01,0.06896551724137931
"Birkbeck, University of London",2008-01-01,0.0967741935483871
"Birkbeck, University of London",2009-01-01,0.09523809523809523
"Birkbeck, University of London",2010-01-01,0.10762548262548263
"Birkbeck, University of London",2011-01-01,0.125
"Birkbeck, University of London",2012-01-01,0.125
"Birkbeck, University of London",2013-01-01,0.14285714285714285
"Birkbeck, University of London",2014-01-01,0.13636363636363635
"Birkbeck, University of London",2015-01-01,0.16129032258064516
"Birkbeck, University of London",2016-01-01,0.16666666666666666
"Birkbeck, University of London",2017-01-01,0.17192118226600986
Birmingham City University,2007-01-01,0
Birmingham City University,2008-01-01,0
Birmingham City University,2009-01-01,0.039351851851851846
Birmingham City University,2010-01-01,0.036585365853658534
Birmingham City University,2011-01-01,0.044444444444444446
Birmingham City University,2012-01-01,0.05808080808080808
Birmingham City University,2013-01-01,0.06145134228187919
Birmingham City University,2014-01-01,0.058823529411764705
Birmingham City University,2015-01-01,0.07407407407407407
Birmingham City University,2016-01-01,0.09090909090909091
Birmingham City University,2017-01-01,0.1206060606060606
Bournemouth University,2007-01-01,0.02702702702702703
Bournemouth University,2008-01-01,0.041666666666666664
Bournemouth University,2009-01-01,0.07692307692307693
Bournemouth University,2010-01-01,0.08054054054054055
Bournemouth University,2011-01-01,0.09090909090909091
Bournemouth University,2012-01-01,0.1
Bournemouth University,2013-01-01,0.09878048780487805
Bournemouth University,2014-01-01,0.10810810810810811
Bournemouth University,2015-01-01,0.14285714285714285
Bournemouth University,2016-01-01,0.15384615384615385
Bournemouth University,2017-01-01,0.1724137931034483
"Brighton and Sussex Medical
School",2007-01-01,0.15555555555555556
"Brighton and Sussex Medical
School",2008-01-01,0.2
"Brighton and Sussex Medical
School",2009-01-01,0.2
"Brighton and Sussex Medical
School",2010-01-01,0.2249747219413549
"Brighton and Sussex Medical
School",2011-01-01,0.25
"Brighton and Sussex Medical
School",2012-01-01,0.2566137566137566
"Brighton and Sussex Medical
School",2013-01-01,0.25
"Brighton and Sussex Medical
School",2014-01-01,0.25
"Brighton and Sussex Medical
School",2015-01-01,0.30368906455862976
"Brighton and Sussex Medical
School",2016-01-01,0.3403745644599303
"Brighton and Sussex Medical
School",2017-01-01,0.3221621621621622
Brunel University London,2007-01-01,0.05
Brunel University London,2008-01-01,0.07142857142857142
Brunel University London,2009-01-01,0.07692307692307693
Brunel University London,2010-01-01,0.08108108108108109
Brunel University London,2011-01-01,0.09090909090909091
Brunel University London,2012-01-01,0.0919661733615222
Brunel University London,2013-01-01,0.10526315789473684
Brunel University London,2014-01-01,0.1111111111111111
Brunel University London,2015-01-01,0.125
Brunel University London,2016-01-01,0.13953488372093023
Brunel University London,2017-01-01,0.14814814814814814
"Canterbury Christ Church
University",2007-01-01,0.02857142857142857
"Canterbury Christ Church
University",2008-01-01,0.017740429505135387
"Canterbury Christ Church
University",2009-01-01,0.058823529411764705
"Canterbury Christ Church
University",2010-01-01,0.05555555555555555
"Canterbury Christ Church
University",2011-01-01,0.051503094606542885
"Canterbury Christ Church
University",2012-01-01,0.06147644242882338
"Canterbury Christ Church
University",2013-01-01,0.0625
"Canterbury Christ Church
University",2014-01-01,0.1
"Canterbury Christ Church
University",2015-01-01,0.09838709677419355
"Canterbury Christ Church
University",2016-01-01,0.125
"Canterbury Christ Church
University",2017-01-01,0.11620057859209257
"Cardiff Metropolitan
University",2007-01-01,0.04083333333333333
"Cardiff Metropolitan
University",2008-01-01,0.04210992907801418
"Cardiff Metropolitan
University",2009-01-01,0.05555555555555555
"Cardiff Metropolitan
University",2010-01-01,0.09259259259259259
"Cardiff Metropolitan
University",2011-01-01,0.08695652173913043
"Cardiff Metropolitan
University",2012-01-01,0.07407407407407407
"Cardiff Metropolitan
University",2013-01-01,0.0967741935483871
"Cardiff Metropolitan
University",2014-01-01,0.12675585284280938
"Cardiff Metropolitan
University",2015-01-01,0.14285714285714285
"Cardiff Metropolitan
University",2016-01-01,0.1567251461988304
"Cardiff Metropolitan
University",2017-01-01,0.17647058823529413
Cardiff University,2007-01-01,0.08620689655172414
Cardiff University,2008-01-01,0.09523809523809523
Cardiff University,2009-01-01,0.10344827586206896
Cardiff University,2010-01-01,0.125
Cardiff University,2011-01-01,0.14130434782608695
Cardiff University,2012-01-01,0.15254237288135594
Cardiff University,2013-01-01,0.16279069767441862
Cardiff University,2014-01-01,0.18181818181818182
Cardiff University,2015-01-01,0.1896551724137931
Cardiff University,2016-01-01,0.21052631578947367
Cardiff University,2017-01-01,0.2222222222222222
Coventry University,2007-01-01,0.02702702702702703
Coventry University,2008-01-01,0.041666666666666664
Coventry University,2009-01-01,0.0660377358490566
Coventry University,2010-01-01,0.05426356589147287
Coventry University,2011-01-01,0.06451612903225806
Coventry University,2012-01-01,0.075
Coventry University,2013-01-01,0.08333333333333333
Coventry University,2014-01-01,0.09090909090909091
Coventry University,2015-01-01,0.10714285714285714
Coventry University,2016-01-01,0.125
Coventry University,2017-01-01,0.13333333333333333
De Montfort University,2007-01-01,0.037037037037037035
De Montfort University,2008-01-01,0.0459830866807611
De Montfort University,2009-01-01,0.05405405405405406
