displayname,year,median_oa_perc
American University,2007-01-01,0.045454545454545456
American University,2008-01-01,0.041666666666666664
American University,2009-01-01,0.054804804804804805
American University,2010-01-01,0.04733893557422969
American University,2011-01-01,0.05555555555555555
American University,2012-01-01,0.075
American University,2013-01-01,0.08081632653061224
American University,2014-01-01,0.10344827586206896
American University,2015-01-01,0.10836594911937378
American University,2016-01-01,0.1282051282051282
American University,2017-01-01,0.14285714285714285
Arizona State University,2007-01-01,0.05357142857142857
Arizona State University,2008-01-01,0.06
Arizona State University,2009-01-01,0.07216494845360824
Arizona State University,2010-01-01,0.08064516129032258
Arizona State University,2011-01-01,0.09523809523809523
Arizona State University,2012-01-01,0.10526315789473684
Arizona State University,2013-01-01,0.1111111111111111
Arizona State University,2014-01-01,0.11764705882352941
Arizona State University,2015-01-01,0.13574938574938575
Arizona State University,2016-01-01,0.14285714285714285
Arizona State University,2017-01-01,0.15384615384615385
Auburn University,2007-01-01,0.038461538461538464
Auburn University,2008-01-01,0.0425531914893617
Auburn University,2009-01-01,0.05555555555555555
Auburn University,2010-01-01,0.05741758241758242
Auburn University,2011-01-01,0.0641729581331503
Auburn University,2012-01-01,0.08
Auburn University,2013-01-01,0.09090909090909091
Auburn University,2014-01-01,0.10526315789473684
Auburn University,2015-01-01,0.12325521002402129
Auburn University,2016-01-01,0.13660287081339711
Auburn University,2017-01-01,0.1322142064372919
Baylor University,2007-01-01,0.06742424242424241
Baylor University,2008-01-01,0.09090909090909091
Baylor University,2009-01-01,0.10284745762711864
Baylor University,2010-01-01,0.12087912087912088
Baylor University,2011-01-01,0.11475409836065574
Baylor University,2012-01-01,0.14545454545454545
Baylor University,2013-01-01,0.14285714285714285
Baylor University,2014-01-01,0.1644144144144144
Baylor University,2015-01-01,0.16666666666666666
Baylor University,2016-01-01,0.20683728036669213
Baylor University,2017-01-01,0.22903981264637002
Boston College,2007-01-01,0.05647090087695987
Boston College,2008-01-01,0.06521739130434782
Boston College,2009-01-01,0.07752403846153846
Boston College,2010-01-01,0.08771929824561403
Boston College,2011-01-01,0.1
Boston College,2012-01-01,0.11538461538461539
Boston College,2013-01-01,0.13725490196078433
Boston College,2014-01-01,0.14545454545454545
Boston College,2015-01-01,0.16129032258064516
Boston College,2016-01-01,0.1875
Boston College,2017-01-01,0.2222222222222222
Boston University,2007-01-01,0.13636363636363635
Boston University,2008-01-01,0.14285714285714285
Boston University,2009-01-01,0.15789473684210525
Boston University,2010-01-01,0.18421052631578946
Boston University,2011-01-01,0.21212121212121213
Boston University,2012-01-01,0.21621621621621623
Boston University,2013-01-01,0.23076923076923078
Boston University,2014-01-01,0.2549019607843137
Boston University,2015-01-01,0.26666666666666666
Boston University,2016-01-01,0.2962962962962963
Boston University,2017-01-01,0.30434782608695654
Brandeis University,2007-01-01,0.1111111111111111
Brandeis University,2008-01-01,0.12049941927990708
Brandeis University,2009-01-01,0.13114754098360656
Brandeis University,2010-01-01,0.15789473684210525
Brandeis University,2011-01-01,0.2
Brandeis University,2012-01-01,0.20991432068543453
Brandeis University,2013-01-01,0.2320134575569358
Brandeis University,2014-01-01,0.25
Brandeis University,2015-01-01,0.28205128205128205
Brandeis University,2016-01-01,0.30434782608695654
Brandeis University,2017-01-01,0.3083916083916084
Brown University,2007-01-01,0.10526315789473684
Brown University,2008-01-01,0.12658227848101267
Brown University,2009-01-01,0.14285714285714285
Brown University,2010-01-01,0.16666666666666666
Brown University,2011-01-01,0.18697033898305085
Brown University,2012-01-01,0.19753086419753085
Brown University,2013-01-01,0.21052631578947367
Brown University,2014-01-01,0.2413793103448276
Brown University,2015-01-01,0.25
Brown University,2016-01-01,0.2727272727272727
Brown University,2017-01-01,0.2857142857142857
"California Institute of
Technology",2007-01-01,0.10526315789473684
"California Institute of
Technology",2008-01-01,0.11764705882352941
"California Institute of
Technology",2009-01-01,0.15
"California Institute of
Technology",2010-01-01,0.16666666666666666
"California Institute of
Technology",2011-01-01,0.16
"California Institute of
Technology",2012-01-01,0.2
"California Institute of
Technology",2013-01-01,0.1875
"California Institute of
Technology",2014-01-01,0.21428571428571427
"California Institute of
Technology",2015-01-01,0.2222222222222222
"California Institute of
Technology",2016-01-01,0.24489795918367346
"California Institute of
Technology",2017-01-01,0.23404255319148937
"California State University,
Long Beach",2007-01-01,0.0339080459770115
"California State University,
Long Beach",2008-01-01,0.041666666666666664
"California State University,
Long Beach",2009-01-01,0.03773584905660377
"California State University,
Long Beach",2010-01-01,0.05555555555555555
"California State University,
Long Beach",2011-01-01,0.05798319327731093
"California State University,
Long Beach",2012-01-01,0.07427107959022852
"California State University,
Long Beach",2013-01-01,0.09090909090909091
"California State University,
Long Beach",2014-01-01,0.08
"California State University,
Long Beach",2015-01-01,0.09090909090909091
"California State University,
Long Beach",2016-01-01,0.10526315789473684
"California State University,
Long Beach",2017-01-01,0.13157894736842105
Carnegie Mellon University,2007-01-01,0.07874015748031496
Carnegie Mellon University,2008-01-01,0.09090909090909091
Carnegie Mellon University,2009-01-01,0.10526315789473684
Carnegie Mellon University,2010-01-01,0.11764705882352941
Carnegie Mellon University,2011-01-01,0.125
Carnegie Mellon University,2012-01-01,0.13043478260869565
Carnegie Mellon University,2013-01-01,0.12903225806451613
Carnegie Mellon University,2014-01-01,0.14285714285714285
Carnegie Mellon University,2015-01-01,0.14285714285714285
Carnegie Mellon University,2016-01-01,0.14814814814814814
Carnegie Mellon University,2017-01-01,0.16279069767441862
"Case Western Reserve
University",2007-01-01,0.14285714285714285
"Case Western Reserve
University",2008-01-01,0.1531942633637549
"Case Western Reserve
University",2009-01-01,0.16666666666666666
"Case Western Reserve
University",2010-01-01,0.18786764705882353
"Case Western Reserve
University",2011-01-01,0.2073170731707317
"Case Western Reserve
University",2012-01-01,0.21606265356265358
"Case Western Reserve
University",2013-01-01,0.22950819672131148
"Case Western Reserve
University",2014-01-01,0.23943661971830985
"Case Western Reserve
University",2015-01-01,0.2603453196347032
"Case Western Reserve
University",2016-01-01,0.29411764705882354
"Case Western Reserve
University",2017-01-01,0.3
Clark University,2007-01-01,0.05405405405405406
Clark University,2008-01-01,0.0514142215173143
Clark University,2009-01-01,0.05263157894736842
Clark University,2010-01-01,0.0754985754985755
