idx,label,text
0,alt.atheism,"Benedikt Rosenau writes, with great authority:


""Contradictory"" is a property of language.  If I correct this to


      THINGS DEFINED BY CONTRADICTORY LANGUAGE DO NOT EXIST

I will object to definitions as reality.  If you then amend it to

      THINGS DESCRIBED BY CONTRADICTORY LANGUAGE DO NOT EXIST

then we've come to something which is plainly false.  Failures in
description are merely failures in description.

(I'm not an objectivist, remember.)

"
1,alt.atheism,"
[...stuff deleted...]

Computers are an excellent example...of evolution without ""a"" creator.
We did not ""create"" computers.  We did not create the sand that goes
into the silicon that goes into the integrated circuits that go into
processor board.  We took these things and put them together in an
interesting way. Just like plants ""create"" oxygen using light through 
photosynthesis.  It's a much bigger leap to talk about something that
created ""everything"" from nothing.  I find it unfathomable to resort
to believing in a creator when a much simpler alternative exists: we
simply are incapable of understanding our beginnings -- if there even
were beginnings at all.  And that's ok with me.  The present keeps me
perfectly busy."
2,alt.atheism,"
[deletia]


      In the deletions somewhere, it mentioned something about chopping
off of hands being a punishment for theft in Saudi Arabia. Assuming this
is so (I wouldn't know), and assuming it is done by people fitting your
requirement for ""muslim"" (which I find highly likely), then would you
please try to convince Bobby Mozumder that muslims chop people's hands
off?

      Come back when you've succeeded.
"
3,talk.religion.misc,"...

	Before or after his kids were shot?


	Then why make the comment?


	As did the Jews against the Nazis in WW II:  do what I say or die.



	ALl humans, I hope.


	Or perhaps they have:  kill first, blame the dead ones,
	destroy all the evidence.
"
5,alt.atheism," 
(Deletion)
 
No cookies, Charlie. The claims that Jesus have been seen are discredited
as extraordinary claims that don't match their evidence. In this case, it
is for one that the gospels cannot even agree if it was Jesus who has been
seen. Further, there are zillions of other spook stories, and one would
hardly consider others even in a religious context to be some evidence of
a resurrection.
 
There have been more elaborate arguments made, but it looks as if they have
not passed your post filtering.
 
 
 
It is no evidence in the strict meaning. If there was actual evidence it would
probably be part of it, but the says nothing about the claims.
 "
6,alt.atheism," 
(Deletion)
 
No it in the way it is usually used. In my view, you are saying here that
driving a car requires faith that the car drives.
 
For me it is a conclusion, and I have no more faith in it than I have in the
premises and the argument used.
 
 
 
No, that's a word game. The term god is used in a different way usually.
When you use a different definition it is your thing, but until it is
commonly accepted you would have to say the way I define god is ... and
that does not exist, it is existence itself, so I say it does not exist.
 
Interestingly, there are those who say that ""existence exists"" is one of
the indubitable statements possible.
 
Further, saying god is existence is either a waste of time, existence is
already used and there is no need to replace it by god, or you are implying
more with it, in which case your definition and your argument so far
are incomplete, making it a fallacy.
 
 
(Deletion)
(Deletion)
 
Where does that follow? Aren't observations based on the assumption
that something exists?
 
And wouldn't you say there is a level of definition that the assumption
""god is"" is meaningful. If not, I would reject that concept anyway."
7,talk.religion.misc,"

[...stiff deleted...]


[...stiff deleted...]

Speed is a quantifiable measure resulting from a set of methods that
will result in the same value measured no matter the reference.  A 
bullet with zero velocity sitting on a table on a train moving 60mph
will be moving at a speed of

        (a) 0mph to someone on the train.
        (b) 60mph to someone stationary next to the train.

The reference frame makes the speed relative.  But what's interesting
here is that every person on the train will see a stationary bullet.
Every person off, a bullet moving 60mph.  

I know of no train where all the people on it, every time it is
filled, will see a moral problem in exactly the same way.
"
8,alt.atheism,"(excess stuff deleted...)

    

I know of a similar incident about 3 years ago.  A climatologist( Ithink 
that was his profession) named Iben Browning predicted that an earthquake 
would hit the New Madrid fault on Dec.3.  Some schools in Missouri that were 
on the fault line actually cancelled school for the day.  Many people 
evacuated New Madrid and other towns in teh are.  I wouldn't be suprised if 
there were more journalists in the area than residents.  Of course, teh 
earthquake never occured.  HOw do I know about his?  I used to live in 
Southern Illinois and the lican middle school was built directly on the 
fault line.  No we still had school... We laughed at the poor idiots who 
believed the prediction. :):):):)

Bob, if you're wanting an excuse to convert to Christianity, you gonna have 
to look elsewhere."
9,alt.atheism,"[deletions]
[deletions]

 As you have presented it, it is indeed an argument from incredulity.
However, from what I have seen, it is not often presented in this manner.
It is usually presented more in the form, ""And *besides*, I cannot see...
...nor have I ever been offered a convincing explanation.""
 Moreover, it is not unreasonable to ask for an explanation for such
phenomena. That theism does not provide a convincing explanation is not
an argument in theism's favor. Especially when different theisms offer 
different explanations, and even different adherents of what is purportedly
the same theism give different explanations...


 Not im my experience. In my experience, the most common reason is the
lack of evidence in theism's favor. You mileage may vary. :->


 Oh, heck, I'll be snide this once. :-> It's also fairly easy to attack
arguments that are not made. (I.e. 'strawmen'.)


 Sage advice indeed.

 Sincerely,

 Raymond Ingles                       ingles@engin.umich.edu"
10,talk.religion.misc,"
   I'm sorry, I thought we were discussing heresy.  I assumed that heresy
meant a departure from orthodoxy, in which case generally accepted belief is
indeed an important issue.  In this case, the definition of the word ""create""
is of great importance, since creation is the issue being discussed.


  I should have said ""given the Mormon belief.""  If you disagree with the
Mormon belief that creation is more a function of organization of eternally
existent substance than one of ex nihilo creation, then that is the important
point.


  Correction: you interpret the Bible to mean something very specific by
such terms.

   It always cracks me up when anti-Mormons presume to tell Mormons what they
believe.  Mormons do, in fact, believe that all people, including Christ and
Lucifer, are children of God in the sense that we were all created (or
organized or whatever) by Him.  We also believe that being ""offspring"" of
God has a symbolic sense when applied to being spiritually ""born again"" of
Him.  Thus the same word can be used to convey different meanings.  This is
how language works, Robert, and it's why making someone an offender for a
word is dangerous.


<...>

   On the contrary, Robert, it is not a red herring at all to show that those
who rely wholly on the Bible cannot seem to agree on what it says.  You say
that one must simply ""look at the Bible"" to see what it teaches, but centuries
of people doing just that have sho0wn that no one is really sure what it says.
Are we to believe that you are the only one who really understands the
scriptures?


  Let me clarify this one more time.  You did not refer to the Mormon belief
that Jesus needed to be saved, but rather to McConkie's belief in same.  We
keep trying to point out to you that Bruce McConkie is not the source of
Mormon doctrine, and you keep ignoring it. (see below)


  On the contrary, Robert, if you are quoting McConkie's words as Mormon
canon then the question of whether they are canon or not is of *great*
importance.  The fact is that they are not.  Whether or not they indicate
general Mormon belief would only be ascertainable by interviewing a large
number of Mormons."
